('BUFSIZ\tmacro', 'BUFSIZ')
('__AVAILABILITY_INTERNAL__MAC_10_6_DEP__MAC_NA\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_6_DEP__MAC_NA')
('__AVAILABILITY_INTERNAL__MAC_10_7\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_7')
('__AVAILABILITY_INTERNAL__MAC_10_7_DEP__MAC_NA\tmacro', '__AVAILABILITY_INTERNAL__MAC_10_7_DEP__MAC_NA')
('__AVAILABILITY_INTERNAL__MAC_NA\tmacro', '__AVAILABILITY_INTERNAL__MAC_NA')
('__AVAILABILITY_INTERNAL__MAC_NA_DEP__MAC_NA\tmacro', '__AVAILABILITY_INTERNAL__MAC_NA_DEP__MAC_NA')
('__AVAILABILITY__\tmacro', '__AVAILABILITY__')
('__BEGIN_DECLS\tmacro', '__BEGIN_DECLS')
('__BLOCKS__\tmacro', '__BLOCKS__')
('__CAST_AWAY_QUALIFIER\tmacro', '__CAST_AWAY_QUALIFIER')
('__CHAR16_TYPE__\tmacro', '__CHAR16_TYPE__')
('__CHAR32_TYPE__\tmacro', '__CHAR32_TYPE__')
('__CHAR_BIT__\tmacro', '__CHAR_BIT__')
('__CONCAT\tmacro', '__CONCAT')
('__CONSTANT_CFSTRINGS__\tmacro', '__CONSTANT_CFSTRINGS__')
('__COPYRIGHT\tmacro', '__COPYRIGHT')
('__CTERMID_DEFINED\tmacro', '__CTERMID_DEFINED')
('__DARWIN_1050\tmacro', '__DARWIN_1050')
('__DARWIN_1050ALIAS\tmacro', '__DARWIN_1050ALIAS')
('__DARWIN_1050ALIAS_C\tmacro', '__DARWIN_1050ALIAS_C')
('__DARWIN_1050ALIAS_I\tmacro', '__DARWIN_1050ALIAS_I')
('__DARWIN_1050INODE64\tmacro', '__DARWIN_1050INODE64')
('__DARWIN_64_BIT_INO_T\tmacro', '__DARWIN_64_BIT_INO_T')
('__DARWIN_ALIAS\tmacro', '__DARWIN_ALIAS')
('__DARWIN_ALIAS_C\tmacro', '__DARWIN_ALIAS_C')
('__DARWIN_ALIAS_I\tmacro', '__DARWIN_ALIAS_I')
('__DARWIN_ALIAS_STARTING\tmacro', '__DARWIN_ALIAS_STARTING')
('__DARWIN_ALIAS_STARTING_IPHONE___IPHONE_2_0\tmacro', '__DARWIN_ALIAS_STARTING_IPHONE___IPHONE_2_0')
('__DARWIN_ALIAS_STARTING_IPHONE___IPHONE_2_1\tmacro', '__DARWIN_ALIAS_STARTING_IPHONE___IPHONE_2_1')
('__DARWIN_ALIAS_STARTING_IPHONE___IPHONE_2_2\tmacro', '__DARWIN_ALIAS_STARTING_IPHONE___IPHONE_2_2')
('__DARWIN_ALIAS_STARTING_IPHONE___IPHONE_3_0\tmacro', '__DARWIN_ALIAS_STARTING_IPHONE___IPHONE_3_0')
('__DARWIN_ALIAS_STARTING_IPHONE___IPHONE_3_1\tmacro', '__DARWIN_ALIAS_STARTING_IPHONE___IPHONE_3_1')
('__DARWIN_ALIAS_STARTING_IPHONE___IPHONE_3_2\tmacro', '__DARWIN_ALIAS_STARTING_IPHONE___IPHONE_3_2')
('__DARWIN_ALIAS_STARTING_IPHONE___IPHONE_4_0\tmacro', '__DARWIN_ALIAS_STARTING_IPHONE___IPHONE_4_0')
('__DARWIN_ALIAS_STARTING_IPHONE___IPHONE_4_1\tmacro', '__DARWIN_ALIAS_STARTING_IPHONE___IPHONE_4_1')
('__DARWIN_ALIAS_STARTING_IPHONE___IPHONE_4_2\tmacro', '__DARWIN_ALIAS_STARTING_IPHONE___IPHONE_4_2')
('__DARWIN_ALIAS_STARTING_IPHONE___IPHONE_4_3\tmacro', '__DARWIN_ALIAS_STARTING_IPHONE___IPHONE_4_3')
('__DARWIN_ALIAS_STARTING_MAC___MAC_10_0\tmacro', '__DARWIN_ALIAS_STARTING_MAC___MAC_10_0')
('__DARWIN_ALIAS_STARTING_MAC___MAC_10_1\tmacro', '__DARWIN_ALIAS_STARTING_MAC___MAC_10_1')
('__DARWIN_ALIAS_STARTING_MAC___MAC_10_2\tmacro', '__DARWIN_ALIAS_STARTING_MAC___MAC_10_2')
('__DARWIN_ALIAS_STARTING_MAC___MAC_10_3\tmacro', '__DARWIN_ALIAS_STARTING_MAC___MAC_10_3')
('__DARWIN_ALIAS_STARTING_MAC___MAC_10_4\tmacro', '__DARWIN_ALIAS_STARTING_MAC___MAC_10_4')
('__DARWIN_ALIAS_STARTING_MAC___MAC_10_5\tmacro', '__DARWIN_ALIAS_STARTING_MAC___MAC_10_5')
('__DARWIN_ALIAS_STARTING_MAC___MAC_10_6\tmacro', '__DARWIN_ALIAS_STARTING_MAC___MAC_10_6')
('__DARWIN_ALIAS_STARTING_MAC___MAC_10_7\tmacro', '__DARWIN_ALIAS_STARTING_MAC___MAC_10_7')
('__DARWIN_C_ANSI\tmacro', '__DARWIN_C_ANSI')
('__DARWIN_C_FULL\tmacro', '__DARWIN_C_FULL')
('__DARWIN_C_LEVEL\tmacro', '__DARWIN_C_LEVEL')
('__DARWIN_EXTSN\tmacro', '__DARWIN_EXTSN')
('__DARWIN_EXTSN_C\tmacro', '__DARWIN_EXTSN_C')
('__DARWIN_INODE64\tmacro', '__DARWIN_INODE64')
('__DARWIN_LDBL_COMPAT\tmacro', '__DARWIN_LDBL_COMPAT')
('__DARWIN_LDBL_COMPAT2\tmacro', '__DARWIN_LDBL_COMPAT2')
('__DARWIN_LONG_DOUBLE_IS_DOUBLE\tmacro', '__DARWIN_LONG_DOUBLE_IS_DOUBLE')
('__DARWIN_NON_CANCELABLE\tmacro', '__DARWIN_NON_CANCELABLE')
('__DARWIN_NO_LONG_LONG\tmacro', '__DARWIN_NO_LONG_LONG')
('__DARWIN_NULL\tmacro', '__DARWIN_NULL')
('__DARWIN_ONLY_64_BIT_INO_T\tmacro', '__DARWIN_ONLY_64_BIT_INO_T')
('__DARWIN_ONLY_UNIX_CONFORMANCE\tmacro', '__DARWIN_ONLY_UNIX_CONFORMANCE')
('__DARWIN_ONLY_VERS_1050\tmacro', '__DARWIN_ONLY_VERS_1050')
('__DARWIN_SUF_1050\tmacro', '__DARWIN_SUF_1050')
('__DARWIN_SUF_64_BIT_INO_T\tmacro', '__DARWIN_SUF_64_BIT_INO_T')
('__DARWIN_SUF_EXTSN\tmacro', '__DARWIN_SUF_EXTSN')
('__DARWIN_SUF_NON_CANCELABLE\tmacro', '__DARWIN_SUF_NON_CANCELABLE')
('__DARWIN_SUF_UNIX03\tmacro', '__DARWIN_SUF_UNIX03')
('__DARWIN_UNIX03\tmacro', '__DARWIN_UNIX03')
('__DARWIN_VERS_1050\tmacro', '__DARWIN_VERS_1050')
('__DARWIN_WCHAR_MAX\tmacro', '__DARWIN_WCHAR_MAX')
('__DARWIN_WCHAR_MIN\tmacro', '__DARWIN_WCHAR_MIN')
('__DARWIN_WEOF\tmacro', '__DARWIN_WEOF')
('__DBL_DENORM_MIN__\tmacro', '__DBL_DENORM_MIN__')
('__DBL_DIG__\tmacro', '__DBL_DIG__')
('__DBL_EPSILON__\tmacro', '__DBL_EPSILON__')
('__DBL_HAS_DENORM__\tmacro', '__DBL_HAS_DENORM__')
('__DBL_HAS_INFINITY__\tmacro', '__DBL_HAS_INFINITY__')
('__DBL_HAS_QUIET_NAN__\tmacro', '__DBL_HAS_QUIET_NAN__')
('__DBL_MANT_DIG__\tmacro', '__DBL_MANT_DIG__')
('__DBL_MAX_10_EXP__\tmacro', '__DBL_MAX_10_EXP__')
('__DBL_MAX_EXP__\tmacro', '__DBL_MAX_EXP__')
('__DBL_MAX__\tmacro', '__DBL_MAX__')
('__DBL_MIN_10_EXP__\tmacro', '__DBL_MIN_10_EXP__')
('__DBL_MIN_EXP__\tmacro', '__DBL_MIN_EXP__')
('__DBL_MIN__\tmacro', '__DBL_MIN__')
('__DECIMAL_DIG__\tmacro', '__DECIMAL_DIG__')
('__DEPRECATED\tmacro', '__DEPRECATED')
('__DYNAMIC__\tmacro', '__DYNAMIC__')
('__END_DECLS\tmacro', '__END_DECLS')
('__ENVIRONMENT_MAC_OS_X_VERSION_MIN_REQUIRED__\tmacro', '__ENVIRONMENT_MAC_OS_X_VERSION_MIN_REQUIRED__')
('__EXCEPTIONS\tmacro', '__EXCEPTIONS')
('__FINITE_MATH_ONLY__\tmacro', '__FINITE_MATH_ONLY__')
('__FLT_DENORM_MIN__\tmacro', '__FLT_DENORM_MIN__')
('__FLT_DIG__\tmacro', '__FLT_DIG__')
('__FLT_EPSILON__\tmacro', '__FLT_EPSILON__')
('__FLT_EVAL_METHOD__\tmacro', '__FLT_EVAL_METHOD__')
('__FLT_HAS_DENORM__\tmacro', '__FLT_HAS_DENORM__')
('__FLT_HAS_INFINITY__\tmacro', '__FLT_HAS_INFINITY__')
('__FLT_HAS_QUIET_NAN__\tmacro', '__FLT_HAS_QUIET_NAN__')
('__FLT_MANT_DIG__\tmacro', '__FLT_MANT_DIG__')
('__FLT_MAX_10_EXP__\tmacro', '__FLT_MAX_10_EXP__')
('__FLT_MAX_EXP__\tmacro', '__FLT_MAX_EXP__')
('__FLT_MAX__\tmacro', '__FLT_MAX__')
('__FLT_MIN_10_EXP__\tmacro', '__FLT_MIN_10_EXP__')
('__FLT_MIN_EXP__\tmacro', '__FLT_MIN_EXP__')
('__FLT_MIN__\tmacro', '__FLT_MIN__')
('__FLT_RADIX__\tmacro', '__FLT_RADIX__')
('__GNUC_GNU_INLINE__\tmacro', '__GNUC_GNU_INLINE__')
('__GNUC_MINOR__\tmacro', '__GNUC_MINOR__')
('__GNUC_PATCHLEVEL__\tmacro', '__GNUC_PATCHLEVEL__')
('__GNUC__\tmacro', '__GNUC__')
('__GNUG__\tmacro', '__GNUG__')
('__GXX_ABI_VERSION\tmacro', '__GXX_ABI_VERSION')
('__GXX_RTTI\tmacro', '__GXX_RTTI')
('__GXX_WEAK__\tmacro', '__GXX_WEAK__')
('__IDSTRING\tmacro', '__IDSTRING')
('__INT16_TYPE__\tmacro', '__INT16_TYPE__')
('__INT32_TYPE__\tmacro', '__INT32_TYPE__')
('__INT64_C_SUFFIX__\tmacro', '__INT64_C_SUFFIX__')
('__INT64_TYPE__\tmacro', '__INT64_TYPE__')
('__INT8_TYPE__\tmacro', '__INT8_TYPE__')
('__INTMAX_MAX__\tmacro', '__INTMAX_MAX__')
('__INTMAX_TYPE__\tmacro', '__INTMAX_TYPE__')
('__INTMAX_WIDTH__\tmacro', '__INTMAX_WIDTH__')
('__INTPTR_TYPE__\tmacro', '__INTPTR_TYPE__')
('__INTPTR_WIDTH__\tmacro', '__INTPTR_WIDTH__')
('__INT_MAX__\tmacro', '__INT_MAX__')
('__IPHONE_2_0\tmacro', '__IPHONE_2_0')
('__IPHONE_2_1\tmacro', '__IPHONE_2_1')
('__IPHONE_2_2\tmacro', '__IPHONE_2_2')
('__IPHONE_3_0\tmacro', '__IPHONE_3_0')
('__IPHONE_3_1\tmacro', '__IPHONE_3_1')
('__IPHONE_3_2\tmacro', '__IPHONE_3_2')
('__IPHONE_4_0\tmacro', '__IPHONE_4_0')
('__IPHONE_4_1\tmacro', '__IPHONE_4_1')
('__IPHONE_4_2\tmacro', '__IPHONE_4_2')
('__IPHONE_4_3\tmacro', '__IPHONE_4_3')
('__IPHONE_NA\tmacro', '__IPHONE_NA')
('__LDBL_DENORM_MIN__\tmacro', '__LDBL_DENORM_MIN__')
('__LDBL_DIG__\tmacro', '__LDBL_DIG__')
('__LDBL_EPSILON__\tmacro', '__LDBL_EPSILON__')
('__LDBL_HAS_DENORM__\tmacro', '__LDBL_HAS_DENORM__')
('__LDBL_HAS_INFINITY__\tmacro', '__LDBL_HAS_INFINITY__')
('__LDBL_HAS_QUIET_NAN__\tmacro', '__LDBL_HAS_QUIET_NAN__')
('__LDBL_MANT_DIG__\tmacro', '__LDBL_MANT_DIG__')
('__LDBL_MAX_10_EXP__\tmacro', '__LDBL_MAX_10_EXP__')
('__LDBL_MAX_EXP__\tmacro', '__LDBL_MAX_EXP__')
('__LDBL_MAX__\tmacro', '__LDBL_MAX__')
('__LDBL_MIN_10_EXP__\tmacro', '__LDBL_MIN_10_EXP__')
('__LDBL_MIN_EXP__\tmacro', '__LDBL_MIN_EXP__')
('__LDBL_MIN__\tmacro', '__LDBL_MIN__')
('__LITTLE_ENDIAN__\tmacro', '__LITTLE_ENDIAN__')
('__LONG_LONG_MAX__\tmacro', '__LONG_LONG_MAX__')
('__LONG_MAX__\tmacro', '__LONG_MAX__')
('__LP64__\tmacro', '__LP64__')
('__MACH__\tmacro', '__MACH__')
('__MAC_10_0\tmacro', '__MAC_10_0')
('__MAC_10_1\tmacro', '__MAC_10_1')
('__MAC_10_2\tmacro', '__MAC_10_2')
('__MAC_10_3\tmacro', '__MAC_10_3')
('__MAC_10_4\tmacro', '__MAC_10_4')
('__MAC_10_5\tmacro', '__MAC_10_5')
('__MAC_10_6\tmacro', '__MAC_10_6')
('__MAC_10_7\tmacro', '__MAC_10_7')
('__MAC_NA\tmacro', '__MAC_NA')
('__MAC_OS_X_VERSION_MAX_ALLOWED\tmacro', '__MAC_OS_X_VERSION_MAX_ALLOWED')
('__MAC_OS_X_VERSION_MIN_REQUIRED\tmacro', '__MAC_OS_X_VERSION_MIN_REQUIRED')
('__MMX__\tmacro', '__MMX__')
('__NO_INLINE__\tmacro', '__NO_INLINE__')
('__NO_MATH_INLINES\tmacro', '__NO_MATH_INLINES')
('__OSX_AVAILABLE_BUT_DEPRECATED\tmacro', '__OSX_AVAILABLE_BUT_DEPRECATED')
('__OSX_AVAILABLE_STARTING\tmacro', '__OSX_AVAILABLE_STARTING')
('__P\tmacro', '__P')
('__PIC__\tmacro', '__PIC__')
('__POINTER_WIDTH__\tmacro', '__POINTER_WIDTH__')
('__POSIX_C_DEPRECATED\tmacro', '__POSIX_C_DEPRECATED')
('__PROJECT_VERSION\tmacro', '__PROJECT_VERSION')
('__PTHREAD_ATTR_SIZE__\tmacro', '__PTHREAD_ATTR_SIZE__')
('__PTHREAD_CONDATTR_SIZE__\tmacro', '__PTHREAD_CONDATTR_SIZE__')
('__PTHREAD_COND_SIZE__\tmacro', '__PTHREAD_COND_SIZE__')
('__PTHREAD_MUTEXATTR_SIZE__\tmacro', '__PTHREAD_MUTEXATTR_SIZE__')
('__PTHREAD_MUTEX_SIZE__\tmacro', '__PTHREAD_MUTEX_SIZE__')
('__PTHREAD_ONCE_SIZE__\tmacro', '__PTHREAD_ONCE_SIZE__')
('__PTHREAD_RWLOCKATTR_SIZE__\tmacro', '__PTHREAD_RWLOCKATTR_SIZE__')
('__PTHREAD_RWLOCK_SIZE__\tmacro', '__PTHREAD_RWLOCK_SIZE__')
('__PTHREAD_SIZE__\tmacro', '__PTHREAD_SIZE__')
('__PTRDIFF_TYPE__\tmacro', '__PTRDIFF_TYPE__')
('__PTRDIFF_WIDTH__\tmacro', '__PTRDIFF_WIDTH__')
('__RCSID\tmacro', '__RCSID')
('__REGISTER_PREFIX__\tmacro', '__REGISTER_PREFIX__')
('__SALC\tmacro', '__SALC')
('__SAPP\tmacro', '__SAPP')
('__SCCSID\tmacro', '__SCCSID')
('__SCHAR_MAX__\tmacro', '__SCHAR_MAX__')
('__SEOF\tmacro', '__SEOF')
('__SERR\tmacro', '__SERR')
('__SHRT_MAX__\tmacro', '__SHRT_MAX__')
('__SIGN\tmacro', '__SIGN')
('__SIG_ATOMIC_WIDTH__\tmacro', '__SIG_ATOMIC_WIDTH__')
('__SIZEOF_DOUBLE__\tmacro', '__SIZEOF_DOUBLE__')
('__SIZEOF_FLOAT__\tmacro', '__SIZEOF_FLOAT__')
('__SIZEOF_INT__\tmacro', '__SIZEOF_INT__')
('__SIZEOF_LONG_DOUBLE__\tmacro', '__SIZEOF_LONG_DOUBLE__')
('__SIZEOF_LONG_LONG__\tmacro', '__SIZEOF_LONG_LONG__')
('__SIZEOF_LONG__\tmacro', '__SIZEOF_LONG__')
('__SIZEOF_POINTER__\tmacro', '__SIZEOF_POINTER__')
('__SIZEOF_PTRDIFF_T__\tmacro', '__SIZEOF_PTRDIFF_T__')
('__SIZEOF_SHORT__\tmacro', '__SIZEOF_SHORT__')
('__SIZEOF_SIZE_T__\tmacro', '__SIZEOF_SIZE_T__')
('__SIZEOF_WCHAR_T__\tmacro', '__SIZEOF_WCHAR_T__')
('__SIZEOF_WINT_T__\tmacro', '__SIZEOF_WINT_T__')
('__SIZE_TYPE__\tmacro', '__SIZE_TYPE__')
('__SIZE_WIDTH__\tmacro', '__SIZE_WIDTH__')
('__SLBF\tmacro', '__SLBF')
('__SMBF\tmacro', '__SMBF')
('__SMOD\tmacro', '__SMOD')
('__SNBF\tmacro', '__SNBF')
('__SNPT\tmacro', '__SNPT')
('__SOFF\tmacro', '__SOFF')
('__SOPT\tmacro', '__SOPT')
('__SRD\tmacro', '__SRD')
('__SRW\tmacro', '__SRW')
('__SSE2_MATH__\tmacro', '__SSE2_MATH__')
('__SSE2__\tmacro', '__SSE2__')
('__SSE3__\tmacro', '__SSE3__')
('__SSE_MATH__\tmacro', '__SSE_MATH__')
('__SSE__\tmacro', '__SSE__')
('__SSP__\tmacro', '__SSP__')
('__SSSE3__\tmacro', '__SSSE3__')
('__SSTR\tmacro', '__SSTR')
('__STDC_HOSTED__\tmacro', '__STDC_HOSTED__')
('__STDC__\tmacro', '__STDC__')
('__STRING\tmacro', '__STRING')
('__SWR\tmacro', '__SWR')
('__TYPES_H_\tmacro', '__TYPES_H_')
('__UINTMAX_TYPE__\tmacro', '__UINTMAX_TYPE__')
('__USER_LABEL_PREFIX__\tmacro', '__USER_LABEL_PREFIX__')
('__VERSION__\tmacro', '__VERSION__')
('__WCHAR_MAX__\tmacro', '__WCHAR_MAX__')
('__WCHAR_TYPE__\tmacro', '__WCHAR_TYPE__')
('__WCHAR_WIDTH__\tmacro', '__WCHAR_WIDTH__')
('__WINT_TYPE__\tmacro', '__WINT_TYPE__')
('__WINT_WIDTH__\tmacro', '__WINT_WIDTH__')
('___POSIX_C_DEPRECATED_STARTING_198808L\tmacro', '___POSIX_C_DEPRECATED_STARTING_198808L')
('___POSIX_C_DEPRECATED_STARTING_199009L\tmacro', '___POSIX_C_DEPRECATED_STARTING_199009L')
('___POSIX_C_DEPRECATED_STARTING_199209L\tmacro', '___POSIX_C_DEPRECATED_STARTING_199209L')
('___POSIX_C_DEPRECATED_STARTING_199309L\tmacro', '___POSIX_C_DEPRECATED_STARTING_199309L')
('___POSIX_C_DEPRECATED_STARTING_199506L\tmacro', '___POSIX_C_DEPRECATED_STARTING_199506L')
('___POSIX_C_DEPRECATED_STARTING_200112L\tmacro', '___POSIX_C_DEPRECATED_STARTING_200112L')
('___POSIX_C_DEPRECATED_STARTING_200809L\tmacro', '___POSIX_C_DEPRECATED_STARTING_200809L')
('__amd64\tmacro', '__amd64')
('__amd64__\tmacro', '__amd64__')
('__block\tmacro', '__block')
